"seed","parent_i","parent_M0","parent_r","parent_N","parent_K","parent_time","parent_tmass","propagule_ID","propagule_num","propagule_mean.mass","propagule.indiv.mass","survival_rate"
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,1,71,50.66180969236784,71.44654896924919,25
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,7,71,50.66180969236784,7.950686567543579,25
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,9,71,50.66180969236784,34.32156318721083,25
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,10,71,50.66180969236784,119.84239816491169,25
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,14,71,50.66180969236784,56.902981189558275,25
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,21,71,50.66180969236784,8.957316497133684,25
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,33,71,50.66180969236784,46.03826416346813,25
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,34,71,50.66180969236784,84.28984773724312,25
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,39,71,50.66180969236784,26.703113181656626,25
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,42,71,50.66180969236784,32.85519956160176,25
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,43,71,50.66180969236784,21.986151672188296,25
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,46,71,50.66180969236784,21.471558832022343,25
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,51,71,50.66180969236784,47.51894168550937,25
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,54,71,50.66180969236784,74.47056152554288,25
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,59,71,50.66180969236784,31.64358064114613,25
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,62,71,50.66180969236784,67.62250928756326,25
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,68,71,50.66180969236784,23.31353541122759,25
1,2,22.08,0.103,20,6358.236,75,5643.054657246027,20,93,58.03916889535017,84.74106495811569,25
1,2,22.08,0.103,20,6358.236,75,5643.054657246027,25,93,58.03916889535017,25.719501036057377,25
1,2,22.08,0.103,20,6358.236,75,5643.054657246027,28,93,58.03916889535017,24.462809695699118,25
1,2,22.08,0.103,20,6358.236,75,5643.054657246027,33,93,58.03916889535017,2.7932015260727647,25
1,2,22.08,0.103,20,6358.236,75,5643.054657246027,34,93,58.03916889535017,40.486228173818844,25
1,2,22.08,0.103,20,6358.236,75,5643.054657246027,35,93,58.03916889535017,89.16495442110376,25
1,2,22.08,0.103,20,6358.236,75,5643.054657246027,37,93,58.03916889535017,55.24932803073996,25
1,2,22.08,0.103,20,6358.236,75,5643.054657246027,38,93,58.03916889535017,13.000367268096522,25
1,2,22.08,0.103,20,6358.236,75,5643.054657246027,40,93,58.03916889535017,6.032247868845699,25
1,2,22.08,0.103,20,6358.236,75,5643.054657246027,42,93,58.03916889535017,68.59847478113628,25
1,2,22.08,0.103,20,6358.236,75,5643.054657246027,44,93,58.03916889535017,102.23651483748942,25
1,2,22.08,0.103,20,6358.236,75,5643.054657246027,70,93,58.03916889535017,36.04887382782382,25
1,2,22.08,0.103,20,6358.236,75,5643.054657246027,74,93,58.03916889535017,31.883807183146978,25
1,2,22.08,0.103,20,6358.236,75,5643.054657246027,75,93,58.03916889535017,57.877456542157056,25
1,2,22.08,0.103,20,6358.236,75,5643.054657246027,78,93,58.03916889535017,113.8383153709408,25
1,2,22.08,0.103,20,6358.236,75,5643.054657246027,79,93,58.03916889535017,19.315622498293088,25
1,2,22.08,0.103,20,6358.236,75,5643.054657246027,82,93,58.03916889535017,72.06645773603118,25
1,2,22.08,0.103,20,6358.236,75,5643.054657246027,84,93,58.03916889535017,53.01250032846179,25
1,2,22.08,0.103,20,6358.236,75,5643.054657246027,85,93,58.03916889535017,95.19968621092491,25
1,2,22.08,0.103,20,6358.236,75,5643.054657246027,87,93,58.03916889535017,124.45116018003577,25
1,2,22.08,0.103,20,6358.236,75,5643.054657246027,89,93,58.03916889535017,89.25414171298355,25
1,2,22.08,0.103,20,6358.236,75,5643.054657246027,91,93,58.03916889535017,16.190872521096832,25
1,2,22.08,0.103,20,6358.236,75,5643.054657246027,93,93,58.03916889535017,27.307906067137466,25
1,3,22.08,0.103,30,8554.656,75,7307.489532662895,2,111,63.6002878782067,68.31478389875593,25
1,3,22.08,0.103,30,8554.656,75,7307.489532662895,6,111,63.6002878782067,77.51314386613869,25
1,3,22.08,0.103,30,8554.656,75,7307.489532662895,13,111,63.6002878782067,44.476680092335286,25
1,3,22.08,0.103,30,8554.656,75,7307.489532662895,14,111,63.6002878782067,35.14906451446044,25
1,3,22.08,0.103,30,8554.656,75,7307.489532662895,18,111,63.6002878782067,100.38271832695149,25
1,3,22.08,0.103,30,8554.656,75,7307.489532662895,22,111,63.6002878782067,100.78715685487077,25
1,3,22.08,0.103,30,8554.656,75,7307.489532662895,23,111,63.6002878782067,33.487776071511426,25
