"seed","parent_i","parent_M0","parent_r","parent_N","parent_K","parent_time","parent_tmass","propagule_ID","propagule_num","propagule_mean.mass","propagule.indiv.mass"
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,1,71,50.66180969236784,71.44654896924919
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,2,71,50.66180969236784,58.21059886887482
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,3,71,50.66180969236784,39.023650203687424
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,4,71,50.66180969236784,11.47191471159993
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,5,71,50.66180969236784,81.4794529667712
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,6,71,50.66180969236784,12.36035657613568
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,7,71,50.66180969236784,7.950686567543579
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,8,71,50.66180969236784,31.741171142879526
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,9,71,50.66180969236784,34.32156318721083
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,10,71,50.66180969236784,119.84239816491169
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,11,71,50.66180969236784,80.7304948833495
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,12,71,50.66180969236784,86.14412183596437
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,13,71,50.66180969236784,29.630919581095753
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,14,71,50.66180969236784,56.902981189558275
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,15,71,50.66180969236784,23.032001153740076
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,16,71,50.66180969236784,45.6561343717363
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,17,71,50.66180969236784,27.188069410513087
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,18,71,50.66180969236784,2.0460027379903023
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,19,71,50.66180969236784,57.3438803191425
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,20,71,50.66180969236784,22.4249685461356
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,21,71,50.66180969236784,8.957316497133684
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,22,71,50.66180969236784,79.67612658885064
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,23,71,50.66180969236784,32.480312715465466
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,24,71,50.66180969236784,97.62969458834218
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,25,71,50.66180969236784,71.20487802427256
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,26,71,50.66180969236784,56.6863001213601
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,27,71,50.66180969236784,162.62905995106183
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,28,71,50.66180969236784,57.088522477663645
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,29,71,50.66180969236784,14.865857559229772
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,30,71,50.66180969236784,61.82777777008827
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,31,71,50.66180969236784,47.10126411099562
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,32,71,50.66180969236784,36.768764740763494
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,33,71,50.66180969236784,46.03826416346813
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,34,71,50.66180969236784,84.28984773724312
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,35,71,50.66180969236784,18.39545497515786
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,36,71,50.66180969236784,31.122042480674466
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,37,71,50.66180969236784,21.07955014088556
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,38,71,50.66180969236784,102.53578266188495
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,39,71,50.66180969236784,26.703113181656626
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,40,71,50.66180969236784,54.036740460931966
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,41,71,50.66180969236784,18.920155476671532
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,42,71,50.66180969236784,32.85519956160176
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,43,71,50.66180969236784,21.986151672188296
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,44,71,50.66180969236784,40.72739425092467
