"model_parameter","liner","expontial","monomolecular","logistic_3p","logistic_4p","gompertz"
"r","75.9922361745044","0.078589212247829","4.16639064408065e-09","0.10291787641031","0.102917876425913","0.0198392342178698"
"gamma",NA,NA,"328459333.515892","219.64155787362","219.641554491976","1060.3547068292"
"delta",NA,NA,"7576291885.57902","1965.39621013889","1965.396341746","8862.2706626535"
"L",NA,NA,NA,NA,"0",NA
"cor_values","0.794218872630576","0.761688045335296","0.835205999742987","0.930354634318691","0.930354634418781","0.925663570303614"
"AICs","1193.42599840582","1181.20500874675","1174.6382629062","1105.21716756443","1107.21716756443","1109.41677966832"
"Rsquared","0.429231829831033","0.429231829831033","0.600215859249404","0.864872316033106","0.864872316033105","0.855707992274239"
