htime0,htime,nlevel0,nlevel,rep,stemlen,leafnum,propagule_num,rootlen,leafarea,tmass,leafmass,stemmass,rootmass,shootmass,mean_propagule_mass,ratio
day75,75,n10,10,3,182.4,87,51,2519.773,128.72,2682.8,442.6,2043.2,197,2485.8,48.74117647,0.08
day75,75,n10,10,4,214,84,56,3119.833,138.99,3225.7,429.1,2458,338.6,2887.1,51.55535714,0.12
day75,75,n10,10,5,133,103,72,3999.658,125.19,4309.7,517.4,3316.6,475.7,3834,53.25,0.12
day75,75,n20,20,2,377.4,176,104,2480.99,230.78,5787.1,844.3,4589.4,353.4,5433.7,52.24711538,0.07
day75,75,n20,20,3,317.8,132,68,4044.327,220.82,7213.2,938.7,5780.1,494.4,6718.8,98.80588235,0.07
day75,75,n20,20,4,525,253,104,6356.307,417.94,7971.8,1395,6091.9,484.9,7486.9,71.98942308,0.06
day75,75,n20,20,5,375.9,156,83,5357.527,253.83,8652.7,954.5,7060.6,637.6,8015.1,96.56746988,0.08
day75,75,n40,40,2,431.7,326,126,2843.521,374.51,5767.8,1523.2,3802.5,442.1,5325.7,42.26746032,0.08
day75,75,n40,40,3,405.2,188,108,5395.763,281.5,7905.3,1033.7,6031.6,840,7065.3,65.41944444,0.12
day75,75,n40,40,4,421.8,226,111,2932.344,356.73,8187.8,1509.3,6275.5,403,7784.8,70.13333333,0.05
day75,75,n40,40,5,580.7,285,115,7413.651,473.27,8700.4,1613.3,6354.8,732.3,7968.1,69.28782609,0.09
day75,75,n60,60,2,658.4,370,155,4823.998,501.43,8721.3,1986.9,6266.3,468.1,8253.2,53.24645161,0.06
day75,75,n60,60,3,673.3,376,141,5020.365,649.39,10747.7,2315.2,7897.6,534.9,10212.8,72.43120567,0.05
day75,75,n60,60,4,636.7,376,192,3256.736,513.58,11244.4,2139.5,8571.4,533.5,10710.9,55.7859375,0.05
day75,75,n60,60,5,759.9,466,208,6315.507,714.6,16762.5,2656.7,13330.5,775.3,15987.2,76.86153846,0.05
